year,month,monthly_return,monthly_avg_price,inflation_rate,inflation_annual_change,mean_fed_funds_rate,year_to_date_return,time_period,decade
1961,1,4.37%,25134.18,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,2,3.40%,25988,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,3,2.92%,26746.59,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,4,1.26%,27084.5,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,5,-1.08%,26791.93,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,6,-0.03%,26784.45,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,7,3.84%,27812.69,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,8,-0.54%,27662.03,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,9,1.34%,28033.55,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,10,4.77%,29371.32,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,11,1.16%,29712.91,1.0707,-0.39,1.95,26.89,not so recent,'60s
1961,12,-3.49%,28676.79,1.0707,-0.39,1.95,26.89,not so recent,'60s
1962,1,1.91%,29224.37,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,2,0.34%,29324.02,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,3,-2.94%,28460.45,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,4,-7.19%,26415.54,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,5,-11.41%,23400.8,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,6,2.72%,24036.69,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,7,3.02%,24763.32,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,8,-0.59%,24616.39,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,9,-2.86%,23913.27,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,10,7.20%,25635.23,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,11,4.62%,26820.54,1.1988,0.13,2.71,-8.73,not so recent,'60s
1962,12,4.15%,27932.71,1.1988,0.13,2.71,-8.73,not so recent,'60s
1963,1,1.60%,28378.39,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,2,-0.11%,28347.66,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,3,4.98%,29758.85,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,4,2.27%,30434.25,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,5,0.22%,30500.18,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,6,-1.22%,30127.5,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,7,3.03%,31040.71,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,8,2.89%,31938.91,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,9,0.50%,32098.57,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,10,-0.31%,32000.16,1.2397,0.04,3.18,22.8,not so recent,'60s
1963,11,2.39%,32766.04,1.2397,0.04,3.18,22.8,not so recent,'60s
