company,symbol,weight,current_price,ytd_return
Apple Inc.,AAPL,6.940598,   144.00, -19.05%
Microsoft Corporation,MSFT,5.685,   236.16, -29.09%
Amazon.com Inc.,AMZN,3.296234,   115.13, -30.21%
Alphabet Inc. Class A,GOOGL,1.931161,   99.91, -30.43%
Tesla Inc,TSLA,1.87443,   214.29, -37.49%
Alphabet Inc. Class C,GOOG,1.737528,   100.60, -29.92%
Berkshire Hathaway Inc. Class B,BRK.B,1.625324,   278.50, -5.80%
UnitedHealth Group Incorporated,UNH,1.561198,   520.35, 4.00%
Johnson & Johnson,JNJ,1.395012,   164.69, -2.96%
Exxon Mobil Corporation,XOM,1.342694,   103.90, 64.73%
JPMorgan Chase & Co.,JPM,1.113873,   116.51, -24.95%
Procter & Gamble Company,PG,0.980973,   129.88, -21.52%
Visa Inc. Class A,V,0.978093,   186.43, -13.63%
Meta Platforms Inc. Class A,META,0.968024,   133.22, -60.52%
NVIDIA Corporation,NVDA,0.957737,   120.00, -59.31%
Chevron Corporation,CVX,0.936579,   168.35, 38.66%
Home Depot Inc.,HD,0.936381,   275.29, -31.31%
Eli Lilly and Company,LLY,0.844479,   330.21, 21.29%
Mastercard Incorporated Class A,MA,0.819133,   297.76, -16.40%
AbbVie Inc.,ABBV,0.817142,   143.23, 6.79%
Pfizer Inc.,PFE,0.791707,   43.12, -25.33%
Bank of America Corp,BAC,0.780144,   33.94, -21.60%
PepsiCo Inc.,PEP,0.772021,   173.68, 0.78%
Merck & Co. Inc.,MRK,0.766838,   93.01, 23.45%
Coca-Cola Company,KO,0.702325,   55.99, -4.68%
Costco Wholesale Corporation,COST,0.67076,   471.20, -16.63%
Thermo Fisher Scientific Inc.,TMO,0.657331,   505.52, -21.41%
Walmart Inc.,WMT,0.611749,   133.75, -7.29%
Abbott Laboratories,ABT,0.588201,   98.07, -25.41%
McDonald's Corporation,MCD,0.58645099999999994,   250.28, -7.04%
Walt Disney Company,DIS,0.574424,   98.93, -36.42%
Broadcom Inc.,AVGO,0.561773,   435.46, -34.65%
Danaher Corporation,DHR,0.556291,   258.00, -19.28%
Cisco Systems Inc.,CSCO,0.553686,   42.02, -34.05%
