name,symbol,weight,original_price,current_price,ytd_return_num,sector,return_category
Apple,AAPL,6.940598,177.8875849289685,144,-19.05,Information Technology,negative
Microsoft,MSFT,5.685,333.0418840784093,236.16,-29.09,Information Technology,negative
Amazon,AMZN,3.296234,164.96632755409084,115.13,-30.21,Consumer Discretionary,negative
Alphabet (Class A),GOOGL,1.931161,143.61075176081644,99.91,-30.43,Communication Services,negative
Tesla,TSLA,1.87443,342.8091505359142,214.29,-37.49,Consumer Discretionary,negative
Alphabet (Class C),GOOG,1.737528,143.5502283105023,100.6,-29.92,Communication Services,negative
Berkshire Hathaway,BRK.B,1.625324,295.64755838641184,278.5,-5.8,Financials,negative
UnitedHealth Group,UNH,1.561198,500.33653846153845,520.35,4,Health Care,positive
Johnson & Johnson,JNJ,1.395012,169.71352019785655,164.69,-2.96,Health Care,negative
ExxonMobil,XOM,1.342694,63.07290718144843,103.9,64.73,Energy,positive
JPMorgan Chase,JPM,1.113873,155.24317121918722,116.51,-24.95,Financials,negative
Procter & Gamble,PG,0.980973,165.49439347604485,129.88,-21.52,Consumer Staples,negative
Visa,V,0.978093,215.85041102234572,186.43,-13.63,Information Technology,negative
Meta Platforms,META,0.968024,337.4366767983789,133.22,-60.52,Communication Services,negative
Nvidia,NVDA,0.957737,294.91275497665276,120,-59.31,Information Technology,negative
Chevron Corporation,CVX,0.936579,121.41208711957304,168.35,38.66,Energy,positive
Home Depot,HD,0.936381,400.7715824719756,275.29,-31.31,Consumer Discretionary,negative
Eli Lilly & Co,LLY,0.844479,272.24833044768735,330.21,21.29,Health Care,positive
Mastercard,MA,0.819133,356.17224880382776,297.76,-16.4,Information Technology,negative
AbbVie,ABBV,0.817142,134.123045228954,143.23,6.79,Health Care,positive
Pfizer,PFE,0.791707,57.74742199008972,43.12,-25.33,Health Care,negative
Bank of America,BAC,0.780144,43.29081632653061,33.94,-21.6,Financials,negative
PepsiCo,PEP,0.772021,172.3357809089105,173.68,0.78,Consumer Staples,positive
Merck & Co.,MRK,0.766838,75.3422438234103,93.01,23.45,Health Care,positive
Coca-Cola Company,KO,0.702325,58.73898447335292,55.99,-4.68,Consumer Staples,negative
Costco,COST,0.67076,565.1913158210388,471.2,-16.63,Consumer Staples,negative
Thermo Fisher Scientific,TMO,0.657331,643.2370530601858,505.52,-21.41,Health Care,negative
Walmart,WMT,0.611749,144.26706935605654,133.75,-7.29,Consumer Staples,negative
Abbott Laboratories,ABT,0.588201,131.47875050274834,98.07,-25.41,Health Care,negative
McDonald's,MCD,0.58645099999999994,269.2340791738382,250.28,-7.04,Consumer Discretionary,negative
The Walt Disney Company,DIS,0.574424,155.59924504561184,98.93,-36.42,Communication Services,negative
Broadcom,AVGO,0.561773,666.3504208110176,435.46,-34.65,Information Technology,negative
Danaher Corporation,DHR,0.556291,319.62338949454903,258,-19.28,Health Care,negative
